minutes,avg_duration_internal,avg_duration_through,avg_time_per_unit_internal,avg_time_per_unit_through,avg_daily_difference
5,120.8,47.25,2.350194552529183,3.1153846153846154,0.0
10,259.22222222222223,83.0,3.2335412335412337,3.2980132450331126,0.0
15,306.5925925925926,100.86206896551724,3.6823843416370106,3.490453460620525,0.0
20,351.0873786407767,110.12903225806451,3.940503432494279,3.747530186608123,0.0
25,408.1417322834646,133.6875,4.473075595443563,4.200294550810015,0.0
30,438.38028169014086,133.6875,4.789566823113026,4.200294550810015,0.0
35,463.96078431372547,133.6875,5.072602543947406,4.200294550810015,0.0
