minutes,avg_duration_internal,avg_duration_through,avg_time_per_unit_internal,avg_time_per_unit_through,avg_daily_difference
5,201.0,150.0,4.040201005025126,4.2586750788643535,0.0
10,328.17391304347825,207.0,6.217462932454695,4.44206008583691,0.0
15,363.51724137931035,287.1063829787234,7.151967435549525,5.480909829406986,0.0
20,473.85,321.0,9.486486486486486,5.94254707947654,0.0
25,577.68,322.0,11.212732919254659,6.108125197597218,0.0
